candidate_id,doi,title,discovery_route_families,source_screen_status,source_access_status,study_type,taxon,primary_study_id,study_cluster_id,screen_exclusion_reason,coder_id,coding_date,coding_note
doi:10.1002/ecs2.1326,10.1002/ecs2.1326,Florivory shapes both leaf and floral interactions,A_to_antagonism;B_to_antagonism,included_for_source_coding,abstract_only,manipulation,Impatiens capensis,Impatiens_ecs2_1326,unresolved_Impatiens_ecs2_1326_panel,,assistant_abstract_screen,2026-07-01,Pretreatment floral anthocyanin/tannin associations; panel linkage unresolved.
doi:10.1007/s11284-011-0908-2,10.1007/s11284-011-0908-2,Pollinator response to flower color polymorphism and floral display,A_to_antagonism;B_to_pollination,included_for_source_coding,abstract_only,observational,Cosmos bipinnatus,Cosmos_bipinnatus_s11284_011_0908_2,Cosmos_bipinnatus_s11284_011_0908_2_panel,,assistant_abstract_screen,2026-07-01,Colour/display and visitor observations; discovery B label rejected.
doi:10.1104/pp.107.112326,10.1104/pp.107.112326,Influence of Green Leaf Herbivory by Manduca sexta on Floral Volatile Emission,B_to_antagonism,excluded,abstract_only,manipulation,Nicotiana suaveolens,Nicotiana_suaveolens_pp107_112326,Nicotiana_suaveolens_pp107_112326_panel,leaf_only_herbivory_not_direct_floral_trait,assistant_abstract_screen,2026-07-01,Leaf herbivory treatment only; no direct floral A/B predictor.
doi:10.1111/plb.13744,10.1111/plb.13744,The roles of florivory and herbivory in maintaining intra-population flower colour variation,A_to_antagonism;B_to_antagonism,included_for_source_coding,abstract_only,comparative,Anemone coronaria,Anemone_coronaria_plb_13744,Anemone_coronaria_plb_13744_panel,,assistant_abstract_screen,2026-07-01,Colour morph-specific petal damage is available at abstract resolution.
doi:10.26786/1920-7603(2018)seven,10.26786/1920-7603(2018)seven,Aggregate enantiostyly: Floral visitor interactions,A_to_antagonism;A_to_pollination;B_to_antagonism;B_to_pollination;joint_channels,included_for_source_coding,abstract_only,comparative,Allionia incarnata,Allionia_incarnata_2018_enantiostyly,Allionia_incarnata_2018_enantiostyly_panel,,assistant_abstract_screen,2026-07-01,Enantiostyly role is not A or B at abstract resolution.
doi:10.26786/1920-7603(2022)663,10.26786/1920-7603(2022)663,What are the plant reproductive consequences of losing a nectar robber?,A_to_pollination;joint_channels,included_for_source_coding,abstract_only,manipulation,Aquilegia caerulea,Aquilegia_caerulea_2022_robber,Aquilegia_caerulea_2022_robber_panel,,assistant_abstract_screen,2026-07-01,Nectar robbery and fitness experiment; no direct floral trait predictor.
doi:10.3389/fpls.2022.813418,10.3389/fpls.2022.813418,Florivory and Pollination Intersection,A_to_antagonism;A_to_pollination;B_to_antagonism;B_to_pollination;joint_channels,included_for_source_coding,abstract_only,manipulation,,florivory_pollination_813418,florivory_pollination_813418_panel,,assistant_abstract_screen,2026-07-01,H-to-A/P study; no direct A/B-to-P/H route.
doi:10.3390/plants15020225,10.3390/plants15020225,Experimental Florivory Influences Reproductive Success,A_to_antagonism;B_to_antagonism;joint_channels,included_for_source_coding,abstract_only,manipulation,Convolvulus arvensis,Convolvulus_arvensis_2026_florivory,Convolvulus_arvensis_2026_florivory_panel,,assistant_abstract_screen,2026-07-01,Florivory-to-fitness study; no pre-existing A/B predictor.
doi:10.1093/cz/zoab015,10.1093/cz/zoab015,Florivory by occupants of phytotelmata,A_to_antagonism;B_to_antagonism,included_for_source_coding,abstract_only,manipulation,Heliconia spathocircinata,Heliconia_spathocircinata_zoab015,Heliconia_spathocircinata_zoab015_panel,,assistant_abstract_screen,2026-07-01,Florivore-infestation effect on fecundity; no direct floral trait predictor.
doi:10.1111/j.1600-0587.1991.tb00651.x,10.1111/j.1600-0587.1991.tb00651.x,Floral display and pollination success,A_to_antagonism;A_to_pollination;B_to_pollination;joint_channels,included_for_source_coding,abstract_only,comparative,Achillea ptarmica,Achillea_ptarmica_1991_display,Achillea_ptarmica_1991_display_panel,,assistant_abstract_screen,2026-07-01,Display-size and visitor evidence plus ray-removal comparison.
